Run,Fe_peak,Corr,Evaluated
40937,0.0,9811.344547695437,0
40938,0.0,9811.344547695437,0
40939,0.0,9811.344547695437,0
40940,0.0,9811.344547695437,0
40941,0.0,9811.344547695437,0
40942,0.0,9811.344547695437,0
40944,0.0,9811.344547695437,0
40945,0.0,9811.344547695437,0
40946,0.0,9811.344547695437,0
40947,0.0,9811.344547695437,0
40948,0.0,9811.344547695437,0
40949,0.0,9811.344547695437,0
40951,0.0,9811.344547695437,0
40952,0.0,9811.344547695437,0
40953,0.0,9811.344547695437,0
40954,0.0,9811.344547695437,0
40955,0.0,9811.344547695437,0
40956,0.0,9811.344547695437,0
40958,0.0,9811.344547695437,0
40959,0.0,9811.344547695437,0
40960,0.0,9811.344547695437,0
40961,0.0,9811.344547695437,0
40962,0.0,9811.344547695437,0
40963,0.0,9811.344547695437,0
40965,0.0,9811.344547695437,0
40966,0.0,9811.344547695437,0
40967,0.0,9811.344547695437,0
40968,0.0,9811.344547695437,0
40969,0.0,9811.344547695437,0
40970,0.0,9811.344547695437,0
40972,0.0,9811.344547695437,0
40973,0.0,9811.344547695437,0
40974,0.0,9811.344547695437,0
40975,0.0,9811.344547695437,0
40976,0.0,9811.344547695437,0
40977,0.0,9811.344547695437,0
40979,0.0,9811.344547695437,0
40980,0.0,9811.344547695437,0
40981,0.0,9811.344547695437,0
40982,0.0,9811.344547695437,0
40983,0.0,9811.344547695437,0
40984,0.0,9811.344547695437,0
40986,0.0,9811.344547695437,0
40987,0.0,9811.344547695437,0
40988,0.0,9811.344547695437,0
40989,0.0,9811.344547695437,0
40990,0.0,9811.344547695437,0
40991,0.0,9811.344547695437,0
40993,0.0,9811.344547695437,0
40994,0.0,9811.344547695437,0
40995,0.0,9811.344547695437,0
40996,0.0,9811.344547695437,0
40997,0.0,9811.344547695437,0
40998,0.0,9811.344547695437,0
41000,0.0,9811.344547695437,0
41001,0.0,9811.344547695437,0
41002,0.0,9811.344547695437,0
41003,0.0,9811.344547695437,0
41004,0.0,9811.344547695437,0
41005,0.0,9811.344547695437,0
41007,0.0,9811.344547695437,0
41008,0.0,9811.344547695437,0
41009,0.0,9811.344547695437,0
41010,0.0,9811.344547695437,0
41011,0.0,9811.344547695437,0
41012,0.0,9811.344547695437,0
41014,0.0,9811.344547695437,0
41015,0.0,9811.344547695437,0
41016,0.0,9811.344547695437,0
41017,0.0,9811.344547695437,0
41018,0.0,9811.344547695437,0
41019,0.0,9811.344547695437,0
41021,0.0,9811.344547695437,0
41022,0.0,9811.344547695437,0
41023,0.0,9811.344547695437,0
41024,0.0,9811.344547695437,0
41025,0.0,9811.344547695437,0
41026,0.0,9811.344547695437,0
41028,0.0,9811.344547695437,0
41029,0.0,9811.344547695437,0
41030,0.0,9811.344547695437,0
41031,0.0,9811.344547695437,0
41032,0.0,9811.344547695437,0
41033,0.0,9811.344547695437,0
41035,0.0,9811.344547695437,0
41036,0.0,9811.344547695437,0
41037,0.0,9811.344547695437,0
41038,0.0,9811.344547695437,0
41039,0.0,9811.344547695437,0
41040,0.0,9811.344547695437,0
41042,0.0,9811.344547695437,0
41043,0.0,9811.344547695437,0
41044,0.0,9811.344547695437,0
41045,0.0,9811.344547695437,0
41046,0.0,9811.344547695437,0
41047,0.0,9811.344547695437,0
41049,0.0,9811.344547695437,0
41050,0.0,9811.344547695437,0
41051,0.0,9811.344547695437,0
41052,0.0,9811.344547695437,0
41053,0.0,9811.344547695437,0
41054,0.0,9811.344547695437,0
41056,0.0,9811.344547695437,0
41057,0.0,9811.344547695437,0
41058,0.0,9811.344547695437,0
41059,0.0,9811.344547695437,0
41060,0.0,9811.344547695437,0
41061,0.0,9811.344547695437,0
41063,0.0,9811.344547695437,0
41064,0.0,9811.344547695437,0
41065,0.0,9811.344547695437,0
41066,0.0,9811.344547695437,0
41067,0.0,9811.344547695437,0
41068,0.0,9811.344547695437,0
41070,0.0,9811.344547695437,0
41071,0.0,9811.344547695437,0
41072,0.0,9811.344547695437,0
41073,0.0,9811.344547695437,0
41074,0.0,9811.344547695437,0
41075,0.0,9811.344547695437,0
41077,0.0,9811.344547695437,0
41078,0.0,9811.344547695437,0
41079,0.0,9811.344547695437,0
41080,0.0,9811.344547695437,0
41081,0.0,9811.344547695437,0
41082,0.0,9811.344547695437,0
41084,0.0,9811.344547695437,0
41085,0.0,9811.344547695437,0
41086,0.0,9811.344547695437,0
41087,0.0,9811.344547695437,0
41088,0.0,9811.344547695437,0
41089,0.0,9811.344547695437,0
41091,0.0,9811.344547695437,0
41092,0.0,9811.344547695437,0
41093,0.0,9811.344547695437,0
41094,0.0,9811.344547695437,0
41095,0.0,9811.344547695437,0
41096,0.0,9811.344547695437,0
41098,0.0,9811.344547695437,0
41099,0.0,9811.344547695437,0
41100,0.0,9811.344547695437,0
41101,0.0,9811.344547695437,0
41102,0.0,9811.344547695437,0
41103,0.0,9811.344547695437,0
41105,0.0,9811.344547695437,0
41106,0.0,9811.344547695437,0
41107,0.0,9811.344547695437,0
41108,0.0,9811.344547695437,0
41109,0.0,9811.344547695437,0
41110,0.0,9811.344547695437,0
41112,0.0,9811.344547695437,0
41113,0.0,9811.344547695437,0
41114,0.0,9811.344547695437,0
41115,0.0,9811.344547695437,0
41116,0.0,9811.344547695437,0
41117,0.0,9811.344547695437,0
41119,0.0,9811.344547695437,0
41120,0.0,9811.344547695437,0
41121,0.0,9811.344547695437,0
41122,0.0,9811.344547695437,0
41123,0.0,9811.344547695437,0
41124,0.0,9811.344547695437,0
41126,0.0,9811.344547695437,0
41127,0.0,9811.344547695437,0
41128,0.0,9811.344547695437,0
41129,0.0,9811.344547695437,0
41130,0.0,9811.344547695437,0
41131,0.0,9811.344547695437,0
41133,0.0,9811.344547695437,0
41134,0.0,9811.344547695437,0
41135,0.0,9811.344547695437,0
41136,0.0,9811.344547695437,0
41137,0.0,9811.344547695437,0
41138,0.0,9811.344547695437,0
41140,0.0,9811.344547695437,0
41141,0.0,9811.344547695437,0
41142,0.0,9811.344547695437,0
41143,0.0,9811.344547695437,0
41144,0.0,9811.344547695437,0
41145,0.0,9811.344547695437,0
41147,0.0,9811.344547695437,0
41148,0.0,9811.344547695437,0
41149,0.0,9811.344547695437,0
41150,0.0,9811.344547695437,0
41151,0.0,9811.344547695437,0
41152,0.0,9811.344547695437,0
41154,0.0,9811.344547695437,0
41155,0.0,9811.344547695437,0
41156,0.0,9811.344547695437,0
41157,0.0,9811.344547695437,0
41158,0.0,9811.344547695437,0
41159,0.0,9811.344547695437,0
41161,0.0,9811.344547695437,0
41162,0.0,9811.344547695437,0
41163,0.0,9811.344547695437,0
41164,10575.514799649267,10575.514799649267,0
41165,0.0,10575.514799649267,0
41166,0.0,10575.514799649267,0
41168,0.0,10575.514799649267,0
41169,0.0,10575.514799649267,0
41170,0.0,10575.514799649267,0
41171,0.0,10575.514799649267,0
41172,0.0,10575.514799649267,0
41173,0.0,10575.514799649267,0
41175,0.0,10575.514799649267,0
41176,0.0,10575.514799649267,0
41177,0.0,10575.514799649267,0
41178,0.0,10575.514799649267,0
41179,0.0,10575.514799649267,0
41180,0.0,10575.514799649267,0
41182,0.0,10575.514799649267,0
41183,0.0,10575.514799649267,0
41184,0.0,10575.514799649267,0
41185,0.0,10575.514799649267,0
41186,0.0,10575.514799649267,0
41187,0.0,10575.514799649267,0
41189,0.0,10575.514799649267,0
41190,0.0,10575.514799649267,0
41191,0.0,10575.514799649267,0
41192,0.0,10575.514799649267,0
41193,0.0,10575.514799649267,0
41194,0.0,10575.514799649267,0
41196,0.0,10575.514799649267,0
41197,0.0,10575.514799649267,0
41198,0.0,10575.514799649267,0
41199,0.0,10575.514799649267,0
41200,0.0,10575.514799649267,0
41201,0.0,10575.514799649267,0
41203,0.0,10575.514799649267,0
41204,0.0,10575.514799649267,0
41205,0.0,10575.514799649267,0
41206,0.0,10575.514799649267,0
41207,0.0,10575.514799649267,0
41208,0.0,10575.514799649267,0
41210,0.0,10575.514799649267,0
41211,0.0,10575.514799649267,0
41212,0.0,10575.514799649267,0
41213,0.0,10575.514799649267,0
41214,0.0,10575.514799649267,0
41215,0.0,10575.514799649267,0
41217,0.0,10575.514799649267,0
41218,0.0,10575.514799649267,0
